
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
125,Dave Greenwood\greenda01,PF,32,DET,37,0,205,3.9,9.1,.423,0.0,0.0,,3.9,9.1,.423,2.8,5.1,.552,4.2,9.5,13.7,2.1,0.7,1.6,2.8,7.0,10.5
126,Darrell Griffith\griffda01,SG,31,UTA,82,1,1444,7.5,16.2,.464,2.0,5.4,.372,5.5,10.8,.509,1.3,1.9,.654,1.1,3.1,4.1,1.6,1.7,0.5,1.9,3.7,18.3
127,Scott Haffner\haffnsc01,PG,23,MIA,43,6,559,5.7,14.0,.406,0.2,1.4,.143,5.5,12.6,.434,1.1,1.6,.680,0.5,2.8,3.3,5.2,0.8,0.1,2.1,3.4,12.6
128,Jack Haley\haleyja01,PF,26,TOT,67,26,1084,4.6,11.5,.398,0.0,0.0,.000,4.6,11.5,.399,2.8,4.2,.680,3.8,6.1,10.0,0.9,0.6,0.4,2.4,5.6,12.0
129,Tom Hammonds\hammoto01,PF,22,WSB,61,8,805,5.8,13.2,.437,0.0,0.0,.000,5.8,13.1,.439,2.8,4.4,.643,2.7,4.8,7.5,2.3,0.5,0.6,2.1,4.4,14.4
130,Bob Hansen\hansebo01,SG,29,UTA,81,81,2174,4.4,9.4,.467,0.9,2.6,.351,3.5,6.9,.510,0.5,1.1,.516,1.1,2.7,3.8,2.5,0.9,0.2,1.3,3.2,10.2
131,Bill Hanzlik\hanzlbi01,PF,32,DEN,81,0,1605,4.0,8.9,.452,0.1,0.7,.194,3.9,8.2,.474,3.1,4.1,.743,1.5,3.1,4.6,4.2,1.7,0.7,2.0,5.6,11.2
132,Tim Hardaway\hardati01,PG,23,GSW,79,78,2663,6.3,13.3,.471,0.3,1.1,.274,6.0,12.2,.489,2.9,3.7,.764,0.8,3.4,4.2,9.3,2.2,0.2,3.5,3.1,15.7
133,Derek Harper\harpede01,PG,28,DAL,82,82,3007,6.8,13.9,.488,1.1,2.9,.371,5.7,11.0,.519,3.0,3.8,.794,0.6,2.3,2.9,7.3,2.2,0.3,2.5,2.7,17.6
134,Ron Harper\harpero01,SG,26,TOT,35,35,1367,7.9,16.8,.473,0.4,1.3,.275,7.6,15.4,.490,4.8,6.1,.788,1.9,3.5,5.4,4.8,2.1,1.1,2.6,2.8,21.0
135,Steve Harris\harrist01,SG,26,LAC,15,0,93,5.4,15.5,.350,0.0,0.0,,5.4,15.5,.350,1.2,1.5,.750,1.9,1.9,3.9,0.4,2.7,0.4,1.9,3.5,12.0
136,Scott Hastings\hastisc01,PF,29,DET,40,0,166,2.2,7.2,.303,0.7,2.6,.250,1.5,4.6,.333,4.1,4.8,.864,1.5,5.4,6.9,1.7,0.7,0.7,1.5,6.7,9.1
137,Hersey Hawkins\hawkihe01,SG,23,PHI,82,82,2856,6.6,14.3,.460,1.1,2.5,.420,5.5,11.8,.468,4.9,5.5,.888,1.1,2.8,3.8,3.3,1.6,0.4,2.3,2.7,19.1
138,Gerald Henderson\hendege01,PG,34,TOT,57,0,464,4.1,8.5,.486,1.3,2.9,.447,2.8,5.5,.507,0.9,1.2,.800,0.9,2.5,3.3,5.7,1.2,0.2,1.9,3.9,10.5
139,Mike Higgins\higgimi01,SF,22,TOT,11,0,50,2.2,5.8,.375,0.0,0.0,,2.2,5.8,.375,5.8,7.2,.800,1.4,1.4,2.9,2.2,1.4,1.4,0.7,3.6,10.1
140,Rod Higgins\higgiro01,PF,30,GSW,82,22,1993,5.5,11.4,.481,1.2,3.5,.347,4.3,7.9,.540,4.2,5.1,.821,2.2,5.5,7.6,2.3,0.8,1.0,1.7,3.3,16.4
141,Roy Hinson\hinsoro01,PF,28,NJN,25,19,793,6.6,13.0,.507,0.0,0.0,,6.6,13.0,.507,3.9,4.5,.869,2.8,5.0,7.8,1.0,0.6,1.2,2.4,3.9,17.1
142,Craig Hodges\hodgecr01,SG,29,CHI,63,0,1055,4.9,11.3,.438,3.0,6.2,.481,2.0,5.1,.387,1.0,1.1,.909,0.4,1.4,1.8,3.8,1.0,0.1,1.0,3.0,13.9
143,Mike Holton\holtomi01,PG,28,CHH,16,0,109,4.6,8.6,.538,0.0,0.0,,4.6,8.6,.538,0.3,0.7,.500,0.3,0.3,0.7,5.3,0.3,0.0,4.3,6.3,9.6
144,Dave Hoppen\hoppeda01,C,25,CHH,10,2,135,4.3,10.9,.390,0.0,0.0,,4.3,10.9,.390,2.1,2.7,.800,5.1,4.5,9.6,1.6,0.5,0.3,2.1,6.9,10.7
145,Dennis Hopson\hopsode01,SG,24,NJN,79,64,2551,6.7,15.4,.434,0.5,1.4,.317,6.2,14.0,.446,3.8,4.8,.792,1.6,2.3,3.9,2.1,1.4,0.7,2.4,2.6,17.7
146,Tito Horford\horfoti01,C,24,MIL,35,0,236,2.7,9.5,.290,0.0,0.0,,2.7,9.5,.290,2.3,3.7,.625,2.9,6.1,9.0,0.3,0.8,2.4,2.1,5.0,7.8
147,Jeff Hornacek\hornaje01,SG,26,PHO,67,60,2278,7.6,14.2,.536,0.6,1.5,.408,7.0,12.7,.552,2.7,3.2,.856,1.4,3.6,4.9,5.3,1.8,0.2,2.0,2.3,18.6
148,Ed Horton\hortoed01,PF,22,WSB,45,10,374,7.7,15.6,.494,0.0,0.4,.000,7.7,15.2,.506,4.0,6.6,.609,5.7,4.7,10.4,1.8,0.9,0.5,3.8,6.1,19.4
149,Eddie Hughes\hugheed01,PG,29,DEN,60,7,892,3.3,8.2,.411,0.8,2.0,.408,2.5,6.2,.412,0.9,1.4,.676,0.6,2.2,2.8,4.7,1.9,0.0,1.6,3.5,8.4
150,Jay Humphries\humphja01,PG,27,MIL,81,81,2818,6.3,12.8,.494,0.3,0.9,.300,6.1,11.9,.508,2.9,3.6,.786,1.0,2.4,3.4,6.0,2.0,0.1,1.9,3.2,15.8
151,Byron Irvin\irvinby01,SG,23,POR,50,2,488,7.1,15.0,.473,0.4,1.0,.357,6.7,13.9,.481,4.5,6.7,.670,2.2,3.2,5.5,3.5,2.1,0.1,2.9,3.0,19.0
152,Jaren Jackson\jacksja01,SG,22,NJN,28,0,160,5.6,15.5,.362,0.0,0.7,.000,5.6,14.9,.379,3.8,4.7,.810,3.6,1.8,5.4,2.9,2.9,0.2,4.1,3.6,15.1
153,Mark Jackson\jacksma01,PG,24,NYK,82,69,2428,4.8,11.1,.437,0.5,1.9,.267,4.3,9.2,.472,1.8,2.4,.727,1.6,3.1,4.7,9.0,1.6,0.1,3.1,1.8,12.0
154,Michael Jackson\jacksmi02,PG,25,SAC,17,0,58,1.9,6.8,.273,0.6,1.2,.500,1.2,5.6,.222,1.9,3.7,.500,1.2,3.1,4.3,5.0,3.1,0.0,2.5,1.9,6.2
155,Avery Johnson\johnsav01,PG,24,SEA,53,10,575,3.4,8.9,.387,0.1,0.3,.250,3.4,8.6,.391,1.8,2.5,.725,1.3,1.4,2.7,10.1,1.6,0.1,3.0,3.4,8.8
156,Buck Johnson\johnsbu01,SF,26,HOU,82,82,2832,6.4,13.0,.495,0.0,0.2,.118,6.4,12.7,.501,2.6,3.4,.759,1.4,3.4,4.8,3.2,1.3,0.8,2.1,4.1,15.4
157,Dennis Johnson*\johnsde01,PG,35,BOS,75,65,2036,3.6,8.4,.434,0.0,0.4,.042,3.6,8.0,.455,2.1,2.5,.843,0.8,2.7,3.6,8.6,1.4,0.2,2.1,3.2,9.4
158,Eddie Johnson\johnsed03,SF,30,PHO,64,4,1811,8.2,18.0,.453,1.4,3.7,.380,6.8,14.4,.472,3.7,4.1,.917,1.4,3.5,4.9,2.1,0.6,0.2,2.1,3.5,21.5
159,Eric Johnson\johnser01,PG,23,UTA,48,2,272,2.6,11.1,.238,0.1,0.8,.167,2.5,10.3,.244,1.7,2.3,.765,1.1,2.6,3.7,8.5,2.3,0.3,3.4,6.5,7.1
160,Kevin Johnson\johnske02,PG,23,PHO,74,74,2782,7.5,15.0,.499,0.1,0.5,.195,7.4,14.5,.510,6.5,7.7,.838,0.5,3.0,3.5,10.9,1.2,0.2,3.4,1.9,21.5
161,Magic Johnson*\johnsma02,PG,30,LAL,79,79,2937,6.7,13.9,.480,1.3,3.4,.384,5.4,10.6,.510,6.9,7.8,.890,1.6,4.8,6.4,11.1,1.6,0.4,3.5,2.0,21.6
162,Marques Johnson\johnsma01,SF,33,GSW,10,0,99,4.4,11.6,.375,0.7,1.1,.667,3.6,10.5,.345,5.1,6.2,.824,2.9,3.3,6.2,3.3,0.0,0.4,3.6,4.4,14.5
163,Steve Johnson\johnsst03,C,32,TOT,25,0,259,6.7,12.8,.522,0.0,0.0,,6.7,12.8,.522,2.9,4.9,.600,2.6,4.7,7.4,2.4,0.4,0.7,4.3,7.8,16.3
164,Vinnie Johnson\johnsvi01,SG,33,DET,82,12,1972,6.1,14.1,.431,0.1,0.6,.147,6.0,13.5,.444,2.4,3.6,.668,2.0,2.7,4.7,4.7,1.3,0.2,2.2,2.6,14.7
165,Nate Johnston\johnsna01,PF-SF,23,TOT,21,0,87,7.4,19.9,.375,0.4,1.7,.250,7.0,18.2,.386,3.7,5.4,.692,5.4,4.1,9.5,0.4,1.2,3.3,2.5,4.6,19.0
166,Anthony Jones\jonesan01,SG,27,DAL,66,0,650,4.0,10.7,.371,0.2,0.7,.308,3.8,10.0,.376,2.6,3.8,.681,1.8,2.7,4.5,1.6,1.8,0.9,2.3,4.3,10.8
167,Caldwell Jones\jonesca01,PF,39,SAS,72,2,885,2.7,5.9,.465,0.0,0.2,.200,2.7,5.7,.475,1.5,2.2,.704,3.1,6.3,9.4,0.8,0.8,1.1,2.0,5.9,7.0
168,Charles Jones\jonesch01,C,32,WSB,81,81,2240,1.5,3.0,.508,0.0,0.0,,1.5,3.0,.508,1.1,1.7,.648,2.3,5.8,8.1,2.2,0.8,3.2,1.2,4.8,4.1
169,Michael Jordan*\jordami01,SG,26,CHI,82,82,3197,11.6,22.1,.526,1.0,2.8,.376,10.6,19.4,.548,6.7,7.9,.848,1.6,4.8,6.4,5.8,2.6,0.6,2.8,2.7,31.0
170,Shawn Kemp\kempsh01,PF,20,SEA,81,1,1120,6.5,13.6,.479,0.1,0.4,.167,6.5,13.2,.488,3.8,5.1,.736,4.7,6.4,11.1,0.8,1.5,2.3,3.4,6.6,16.9
171,Tim Kempton\kemptti01,PF,26,DEN,71,14,1061,5.2,10.6,.490,0.0,0.0,.000,5.2,10.6,.492,2.6,3.9,.675,1.7,5.7,7.4,4.0,1.0,0.3,2.7,4.9,13.0
172,Steve Kerr\kerrst01,PG,24,CLE,78,5,1664,4.2,9.3,.444,1.6,3.1,.507,2.6,6.2,.413,1.4,1.6,.863,0.3,1.9,2.1,5.4,1.0,0.2,1.6,1.3,11.3
173,Jerome Kersey\kerseje01,SF,27,POR,82,82,2843,6.6,13.7,.478,0.0,0.3,.150,6.5,13.5,.485,3.4,4.9,.690,3.2,5.6,8.7,2.4,1.5,0.8,1.8,3.8,16.6
174,Randolph Keys\keysra01,SF,23,TOT,80,18,1615,6.5,15.1,.432,0.3,1.0,.326,6.2,14.2,.439,2.3,3.1,.721,2.2,3.4,5.6,2.0,1.5,0.2,1.9,5.0,15.6
175,Stan Kimbrough\kimbrst01,PG,23,DET,10,0,50,5.0,11.5,.438,0.0,0.0,,5.0,11.5,.438,1.4,1.4,1.000,2.9,2.2,5.0,3.6,2.9,0.0,2.9,2.9,11.5
176,Bernard King*\kingbe01,SF,33,WSB,82,82,2687,9.5,19.5,.487,0.0,0.3,.130,9.5,19.2,.493,5.5,6.9,.803,1.7,3.7,5.4,5.0,0.7,0.1,3.3,3.1,24.6
177,Stacey King\kingst01,PF,23,CHI,82,2,1777,5.4,10.7,.504,0.0,0.0,.000,5.4,10.7,.505,3.9,5.4,.727,3.4,4.4,7.8,1.8,0.8,1.2,2.4,4.4,14.7
178,Greg Kite\kitegr01,C,28,SAC,71,47,1515,2.4,5.6,.432,0.0,0.0,1.000,2.4,5.5,.429,0.6,1.3,.500,3.1,5.8,9.0,1.8,0.7,1.2,1.8,4.8,5.5
179,Joe Kleine\kleinjo01,C,28,BOS,81,4,1365,4.6,9.7,.480,0.0,0.1,.000,4.6,9.6,.485,2.2,2.6,.830,3.1,6.3,9.4,1.2,0.4,0.7,1.7,4.5,11.5
180,Jon Koncak\koncajo01,C,26,ATL,54,28,977,2.9,4.7,.614,0.0,0.0,.000,2.9,4.6,.619,1.5,2.9,.532,2.1,6.2,8.3,0.8,1.4,1.3,1.7,6.7,7.3
181,Frank Kornet\kornefr01,PF,23,MIL,57,0,438,3.5,9.4,.368,0.4,1.6,.250,3.0,7.7,.394,2.0,3.2,.615,2.1,3.8,5.8,1.7,1.2,0.2,1.9,4.4,9.3
182,Larry Krystkowiak\krystla01,PF,25,MIL,16,7,381,4.1,11.1,.364,0.0,0.2,.000,4.1,11.0,.371,2.5,3.1,.788,1.5,5.7,7.2,2.4,0.9,0.2,1.8,3.9,10.6
183,Bill Laimbeer\laimbbi01,C,32,DET,81,81,2675,5.1,10.6,.484,0.8,2.1,.361,4.3,8.4,.515,2.2,2.6,.854,2.2,8.3,10.5,2.3,0.8,1.1,1.3,3.7,13.2
184,Jerome Lane\laneje01,PF,23,DEN,67,46,956,5.5,11.6,.469,0.0,0.2,.000,5.5,11.4,.477,1.7,4.5,.367,5.4,8.2,13.6,4.0,2.0,0.6,3.2,7.1,12.6
185,Andrew Lang\langan01,C,23,PHO,74,0,1011,3.5,6.2,.557,0.0,0.0,,3.5,6.2,.557,2.3,3.5,.653,3.0,6.7,9.6,0.7,0.8,4.7,1.5,6.1,9.2
186,Jeff Lebo\leboje01,SG,23,SAS,4,0,32,2.3,7.9,.286,0.0,0.0,,2.3,7.9,.286,2.3,2.3,1.000,2.3,2.3,4.5,3.4,2.3,0.0,1.1,7.9,6.8
187,Eric Leckner\leckner01,C,23,UTA,77,0,764,5.9,10.5,.563,0.0,0.0,,5.9,10.5,.563,3.8,5.1,.743,2.3,6.8,9.0,0.9,0.7,1.1,3.0,7.4,15.6
188,Tim Legler\legleti01,SG,23,PHO,11,0,83,4.8,12.6,.379,0.0,0.4,.000,4.8,12.1,.393,2.6,2.6,1.000,1.7,1.7,3.5,2.6,0.9,0.0,1.7,5.2,12.1
189,Gary Leonard\leonaga01,C,22,MIN,22,0,127,3.7,8.8,.419,0.0,0.3,.000,3.7,8.5,.433,1.7,4.0,.429,2.8,4.8,7.7,0.3,0.9,2.6,2.3,7.4,9.1
190,Jim Les\lesji01,PG,26,TOT,7,0,92,2.0,5.5,.357,0.0,0.4,.000,2.0,5.1,.385,5.1,6.7,.765,1.2,1.6,2.7,8.2,1.2,0.0,3.9,3.5,9.0
191,Clifford Lett\lettcl01,PG,24,CHI,4,0,28,2.6,10.3,.250,0.0,0.0,,2.6,10.3,.250,0.0,0.0,,0.0,0.0,0.0,1.3,0.0,0.0,2.6,10.3,5.1
192,Fat Lever\leverfa01,SG,29,DEN,79,79,2832,7.2,16.3,.443,0.5,1.1,.414,6.8,15.2,.445,3.4,4.3,.804,2.9,6.4,9.3,6.6,2.1,0.2,2.0,2.2,18.3
193,Cliff Levingston\levincl01,PF,29,ATL,75,5,1706,4.6,8.9,.509,0.0,0.1,.200,4.5,8.8,.513,1.8,2.6,.680,2.4,4.3,6.7,1.7,1.2,0.9,1.0,4.6,10.9
194,Ralph Lewis\lewisra01,SG-SF,26,TOT,7,0,26,5.5,9.7,.571,0.0,0.0,,5.5,9.7,.571,2.8,2.8,1.000,5.5,2.8,8.3,0.0,1.4,0.0,2.8,4.2,13.8
195,Reggie Lewis\lewisre01,SG,24,BOS,79,54,2522,7.7,15.5,.496,0.1,0.2,.267,7.7,15.3,.499,3.7,4.5,.808,1.6,3.4,5.0,3.2,1.3,0.9,1.7,3.1,19.1
196,Todd Lichti\lichtto01,SG,23,DEN,79,4,1326,6.8,14.0,.486,0.0,0.4,.000,6.8,13.6,.500,3.5,4.7,.747,1.3,2.8,4.1,3.1,1.5,0.4,2.6,3.9,17.1
197,Alton Lister\listeal01,C,31,GSW,3,0,40,3.6,7.2,.500,0.0,0.9,.000,3.6,6.3,.571,3.6,6.3,.571,4.5,2.7,7.2,1.8,0.9,0.0,0.0,7.2,10.8
198,Lewis Lloyd\lloydle01,SG,30,TOT,21,0,123,8.8,15.5,.566,0.0,0.0,,8.8,15.5,.566,2.6,4.7,.563,2.3,2.9,5.3,3.2,0.9,0.0,5.9,3.5,20.2
199,Brad Lohaus\lohaubr01,PF,25,TOT,80,41,1943,5.7,12.3,.460,0.9,2.5,.343,4.8,9.7,.490,1.4,1.9,.728,1.8,5.6,7.4,3.1,1.1,1.6,2.0,3.9,13.6
200,Grant Long\longgr01,PF,23,MIA,81,31,1856,5.0,10.3,.483,0.0,0.1,.000,5.0,10.3,.486,3.3,4.7,.714,3.0,4.8,7.8,1.9,1.8,0.7,2.7,5.8,13.3
201,John Long\longjo01,SG,33,ATL,48,19,1030,6.1,13.4,.453,0.3,1.0,.345,5.7,12.4,.462,1.6,1.9,.836,0.9,2.0,2.9,3.0,1.6,0.2,2.6,2.3,14.1
202,Sidney Lowe\lowesi01,PG,30,MIN,80,38,1744,1.5,4.7,.319,0.0,0.2,.222,1.5,4.5,.323,0.8,1.1,.722,0.8,2.5,3.4,7.0,1.5,0.1,1.3,2.4,3.9
203,John Lucas\lucasjo01,PG,36,HOU,49,18,938,4.2,11.2,.375,1.0,3.3,.299,3.2,7.8,.407,1.6,2.1,.764,0.7,2.7,3.5,9.1,1.7,0.1,3.3,2.3,11.0
204,Rick Mahorn\mahorri01,PF,31,PHI,75,66,2271,5.0,10.0,.497,0.0,0.1,.222,4.9,9.8,.501,2.9,4.1,.715,2.6,6.4,9.0,1.6,0.7,1.6,1.6,4.0,12.9
205,Dan Majerle\majerda01,SG,24,PHO,73,23,2244,4.7,11.2,.424,0.3,1.3,.238,4.4,9.9,.448,3.2,4.2,.762,2.3,4.6,6.9,3.0,1.6,0.5,1.3,2.8,13.0
206,Jeff Malone\malonje01,SG,28,WSB,75,74,2567,11.0,22.3,.491,0.0,0.1,.167,10.9,22.2,.492,3.6,4.1,.877,0.8,2.1,2.9,3.4,0.7,0.1,1.8,1.6,25.5
207,Karl Malone*\malonka01,PF,26,UTA,82,82,3122,10.5,18.8,.562,0.2,0.5,.372,10.4,18.3,.567,8.0,10.5,.762,2.7,7.8,10.5,2.6,1.4,0.6,3.5,3.0,29.3
208,Moses Malone*\malonmo01,C,34,ATL,81,81,2735,6.8,14.2,.480,0.0,0.1,.111,6.8,14.1,.483,6.5,8.3,.781,4.8,5.9,10.7,1.7,0.6,1.1,3.1,2.1,20.1
209,Danny Manning\mannida01,PF,23,LAC,71,42,2269,7.0,13.1,.533,0.0,0.1,.000,7.0,13.0,.536,4.3,5.9,.741,2.3,4.4,6.7,3.0,1.4,0.6,3.0,4.1,18.3
210,Roy Marble\marblro01,SG,23,ATL,24,0,162,3.6,12.9,.276,0.0,0.4,.000,3.6,12.4,.286,4.2,6.4,.655,3.3,2.0,5.3,2.4,1.6,0.2,3.1,3.6,11.3
211,Šarūnas Marčiulionis*\marcisa01,SG,25,GSW,75,3,1695,6.1,11.8,.519,0.2,0.8,.256,5.9,11.0,.539,6.7,8.6,.787,1.8,2.9,4.7,2.6,2.0,0.1,2.9,4.9,19.2
212,Jeff Martin\martije01,SG,23,LAC,69,23,1351,4.5,11.0,.411,0.1,0.4,.133,4.5,10.6,.421,2.4,3.4,.705,2.1,2.2,4.2,1.2,1.1,0.4,1.3,2.6,11.5
213,Anthony Mason\masonan01,PF,23,NJN,21,0,108,4.7,13.3,.350,0.0,0.0,,4.7,13.3,.350,3.0,5.0,.600,3.7,7.7,11.3,2.3,0.7,0.7,3.7,6.7,12.3
214,Wes Matthews\matthwe01,PG,30,ATL,1,0,13,2.8,8.3,.333,0.0,2.8,.000,2.8,5.5,.500,5.5,5.5,1.000,0.0,0.0,0.0,13.8,0.0,0.0,0.0,0.0,11.1
215,Vernon Maxwell\maxweve01,SG,24,TOT,79,12,1987,5.0,11.4,.439,0.5,1.9,.267,4.5,9.5,.473,2.5,3.8,.645,0.9,3.2,4.1,5.4,1.5,0.2,2.6,2.7,12.9
216,Bob McCann\mccanbo01,SF,25,DAL,10,0,62,4.1,12.2,.333,0.0,0.0,,4.1,12.2,.333,7.0,8.1,.857,2.3,4.6,7.0,3.5,1.2,1.2,3.5,4.1,15.1
217,Mel McCants\mccanme01,SF,22,LAL,13,0,65,4.4,14.4,.308,0.0,0.0,,4.4,14.4,.308,3.3,4.4,.750,0.6,2.8,3.3,1.1,1.7,0.6,0.6,6.1,12.2
218,George McCloud\mccloge01,SF,22,IND,44,0,413,3.9,12.6,.313,1.1,3.5,.325,2.8,9.1,.308,1.3,1.7,.789,1.0,2.6,3.7,3.9,1.7,0.3,3.1,4.9,10.3
219,Tim McCormick\mccorti01,C,27,HOU,18,0,116,3.1,9.0,.345,0.0,0.0,,3.1,9.0,.345,3.1,5.9,.526,2.5,5.9,8.4,0.9,0.9,0.3,3.1,7.4,9.3
220,Rodney McCray\mccraro01,SF,28,SAC,82,82,3238,6.0,11.6,.515,0.1,0.5,.262,5.8,11.1,.525,3.0,3.9,.784,2.1,5.3,7.4,4.2,0.7,0.8,1.9,2.0,15.1
221,Xavier McDaniel\mcdanxa01,SF,26,SEA,69,67,2432,9.0,18.3,.496,0.1,0.3,.294,9.0,18.0,.498,3.6,4.9,.733,2.4,4.2,6.6,2.5,1.1,0.5,2.8,3.4,21.8
222,Mike McGee\mcgeemi01,SF,30,PHO,14,7,280,5.4,11.2,.483,1.0,3.0,.348,4.4,8.2,.531,1.3,2.7,.476,1.4,3.2,4.6,2.1,1.0,0.1,1.8,3.6,13.1
223,Kevin McHale*\mchalke01,PF,32,BOS,82,25,2722,8.6,15.6,.549,0.3,0.9,.333,8.3,14.7,.562,5.2,5.8,.893,2.7,6.3,9.0,2.3,0.4,2.1,2.4,3.3,22.6
224,Derrick McKey\mckeyde01,SF,23,SEA,80,80,2748,6.1,12.4,.493,0.0,0.3,.130,6.1,12.1,.502,4.1,5.3,.782,2.2,4.2,6.4,2.4,1.1,1.1,2.5,3.2,16.4
225,Carlton McKinney\mckinca01,SG,25,LAC,7,0,104,2.8,11.1,.250,0.0,0.3,.000,2.8,10.7,.258,0.7,1.4,.500,1.4,2.8,4.2,2.4,2.1,0.3,2.4,5.2,6.2
226,Nate McMillan\mcmilna01,SG,25,SEA,82,69,2338,3.2,6.7,.473,0.2,0.5,.355,3.0,6.3,.482,1.5,2.4,.641,2.0,4.2,6.2,9.2,2.2,0.6,2.9,4.4,8.1
227,Mark McNamara\mcnamma01,C,30,LAL,33,1,190,7.2,16.3,.442,0.0,0.0,,7.2,16.3,.442,4.9,7.6,.650,4.2,7.8,11.9,0.6,0.4,0.2,4.0,5.9,19.3
228,Scott Meents\meentsc01,PF,26,SEA,26,0,148,4.6,10.7,.432,0.0,0.0,,4.6,10.7,.432,4.1,5.6,.739,1.7,5.6,7.3,1.7,1.0,0.7,2.2,2.9,13.4
229,Reggie Miller*\millere01,SG,24,IND,82,82,3192,7.5,14.5,.514,1.7,4.1,.414,5.8,10.4,.552,6.1,7.1,.868,1.1,2.3,3.3,3.5,1.2,0.2,2.5,2.0,22.7
230,Sam Mitchell\mitchsa01,PF,26,MIN,80,30,2414,5.5,12.4,.446,0.0,0.1,.000,5.5,12.3,.451,4.0,5.2,.768,2.7,4.2,6.9,1.3,1.0,0.8,1.4,4.5,15.1
231,Paul Mokeski\mokespa01,C,33,CLE,38,1,449,5.1,12.0,.420,0.0,0.1,.000,5.1,11.9,.423,2.0,2.9,.694,2.2,5.8,7.9,1.4,0.6,0.8,2.1,6.1,12.1
232,Johnny Moore\moorejo01,PG,31,SAS,53,8,516,3.3,8.8,.373,0.6,2.4,.235,2.7,6.4,.424,1.1,1.9,.593,1.1,2.5,3.6,5.7,2.2,0.2,2.7,3.8,8.2
233,Chris Morris\morrich01,SF,24,NJN,80,76,2449,6.6,15.7,.422,0.9,2.8,.316,5.7,12.8,.445,3.4,4.6,.722,2.9,3.4,6.2,2.1,1.9,1.2,2.7,3.2,17.4
234,Mike Morrison\morrimi01,SG,22,PHO,36,1,153,5.4,16.0,.338,0.5,1.6,.286,4.9,14.4,.344,5.6,7.1,.800,1.6,3.1,4.7,2.6,0.5,0.0,5.4,4.7,16.9
235,John Morton\mortojo01,SG,22,CLE,37,3,402,4.3,14.4,.298,0.6,2.7,.233,3.7,11.7,.313,3.9,5.6,.694,0.6,2.2,2.9,6.0,1.6,0.4,4.6,2.7,13.1
236,Chris Mullin*\mullich01,SF,26,GSW,78,78,2830,8.7,16.2,.536,1.1,3.0,.372,7.6,13.2,.573,6.4,7.2,.889,1.7,4.2,5.9,4.1,1.6,0.6,3.0,1.8,24.9
237,Tod Murphy\murphto01,C,26,MIN,82,59,2493,3.8,8.0,.471,0.2,0.6,.372,3.5,7.4,.479,2.1,2.9,.709,3.0,5.2,8.1,1.5,1.1,0.9,0.9,3.3,9.8
238,Pete Myers\myerspe01,SG,26,TOT,52,2,751,4.3,10.8,.396,0.0,0.3,.000,4.3,10.5,.408,3.2,4.8,.660,1.6,3.0,4.6,6.5,1.7,0.5,3.6,5.2,11.7
239,Larry Nance\nancela01,PF,30,CLE,62,53,2065,7.2,14.1,.511,0.0,0.0,1.000,7.2,14.1,.510,3.2,4.2,.778,2.8,6.2,9.0,2.8,0.9,2.1,1.9,3.2,17.6
240,Calvin Natt\nattca01,SF,33,IND,14,0,164,4.4,6.8,.645,0.0,0.0,,4.4,6.8,.645,3.7,4.8,.773,2.2,5.5,7.7,2.0,0.2,0.0,1.1,3.1,12.5
241,Ed Nealy\nealyed01,PF,29,CHI,46,0,503,2.6,5.0,.529,0.0,0.1,.000,2.6,4.9,.544,2.1,2.9,.732,3.3,6.6,9.9,2.0,1.1,0.3,1.2,4.8,7.4
242,Chuck Nevitt\nevitch01,C,30,HOU,3,0,9,8.0,8.0,1.000,0.0,0.0,,8.0,8.0,1.000,0.0,0.0,,0.0,12.0,12.0,4.0,0.0,4.0,8.0,12.0,16.0
243,Johnny Newman\newmajo01,SF,26,NYK,80,69,2277,5.9,12.4,.476,0.7,2.2,.317,5.2,10.2,.511,3.8,4.7,.799,0.9,2.1,3.0,2.8,1.5,0.3,2.3,4.0,16.3
244,Kurt Nimphius\nimphku01,C,31,PHI,38,1,314,4.4,10.4,.418,0.0,0.1,.000,4.4,10.3,.422,1.6,3.4,.467,2.5,4.5,7.0,0.7,0.5,2.1,1.4,5.2,10.3
245,Dyron Nix\nixdy01,SF,22,IND,20,0,109,4.6,12.9,.359,0.0,0.0,,4.6,12.9,.359,3.6,5.3,.688,2.6,5.9,8.6,1.7,1.0,0.3,2.3,5.0,12.9
246,Ken Norman\normake01,SF,25,LAC,70,64,2334,7.5,14.6,.510,0.1,0.2,.438,7.4,14.4,.511,2.4,3.7,.632,2.2,5.0,7.2,2.5,1.2,0.9,2.9,3.0,17.4
247,Charles Oakley\oaklech01,PF,26,NYK,61,61,2196,5.5,10.5,.524,0.0,0.0,.000,5.5,10.5,.527,3.6,4.7,.761,4.2,7.7,11.9,2.4,1.0,0.3,2.7,3.6,14.6
248,Hakeem Olajuwon*\olajuha01,C,27,HOU,82,82,3124,9.3,18.5,.501,0.0,0.1,.167,9.3,18.5,.502,4.4,6.2,.713,3.4,9.8,13.2,2.7,2.0,4.3,3.6,3.6,23.0
249,Jawann Oldham\oldhaja01,C,32,TOT,6,0,45,2.4,4.8,.500,0.0,0.0,,2.4,4.8,.500,2.4,5.6,.429,3.2,9.6,12.8,0.8,1.6,2.4,3.2,7.2,7.2
