
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
49,Rick Carlisle\carliri01,SG,30,NJN,5,0,21,1.7,12.0,.143,0.0,5.1,.000,1.7,6.9,.250,0.0,0.0,,0.0,0.0,0.0,8.6,1.7,1.7,6.9,12.0,3.4
50,Antoine Carr\carran01,PF,28,TOT,77,4,1727,7.4,15.0,.494,0.0,0.1,.000,7.4,14.9,.499,4.9,6.2,.795,2.4,4.3,6.7,2.5,0.6,1.4,2.6,5.1,19.8
51,Joe Barry Carroll\carrojo01,C,31,TOT,76,47,1721,6.5,15.9,.411,0.0,0.0,.000,6.5,15.8,.412,2.9,3.7,.774,2.8,6.5,9.3,2.0,1.0,2.4,3.0,4.0,15.9
52,Bill Cartwright\cartwbi01,C,32,CHI,71,71,2160,4.9,10.0,.488,0.0,0.0,,4.9,10.0,.488,3.8,4.7,.811,2.3,5.5,7.7,2.4,0.6,0.6,2.0,4.1,13.5
53,Terry Catledge\catlete01,PF,26,ORL,74,72,2462,8.0,16.8,.474,0.0,0.1,.250,8.0,16.7,.476,5.0,7.1,.702,4.0,4.3,8.2,1.1,0.5,0.2,2.6,2.9,21.0
54,Tom Chambers\chambto01,PF,30,PHO,81,81,3046,9.6,19.1,.501,0.3,1.0,.279,9.3,18.1,.513,6.6,7.6,.861,1.4,5.3,6.7,2.2,1.0,0.6,2.6,3.1,26.0
55,Rex Chapman\chapmre01,SG,22,CHH,54,52,1762,7.7,18.9,.408,1.0,2.9,.331,6.7,16.0,.422,2.9,3.9,.750,1.1,2.6,3.7,2.7,0.9,0.1,2.0,2.3,19.3
56,Maurice Cheeks*\cheekma01,PG,33,TOT,81,62,2519,4.4,8.7,.504,0.1,0.2,.250,4.3,8.5,.511,2.4,2.9,.847,0.7,2.7,3.4,6.5,1.8,0.1,1.7,1.1,11.3
57,Derrick Chievous\chievde01,SF,22,TOT,55,0,591,6.4,13.4,.477,0.2,0.5,.333,6.2,12.9,.483,4.9,6.8,.721,2.1,3.4,5.5,1.9,1.6,0.3,2.7,4.3,17.8
58,Ben Coleman\colembe01,PF,28,MIL,22,0,305,5.4,11.4,.474,0.0,0.1,.000,5.4,11.3,.479,4.0,4.8,.829,3.7,6.6,10.3,1.4,0.8,0.8,3.1,6.4,14.9
59,Steve Colter\coltest01,PG,27,WSB,73,1,977,5.2,10.9,.478,0.0,0.2,.000,5.2,10.8,.486,2.8,3.5,.811,2.0,4.5,6.5,5.5,1.7,0.4,1.4,3.6,13.3
60,Lester Conner\connele01,PG,30,NJN,82,61,2355,3.6,8.8,.414,0.0,0.2,.154,3.6,8.6,.420,2.6,3.3,.804,1.4,2.7,4.1,5.9,2.6,0.1,2.1,2.8,9.9
61,Michael Cooper\coopemi01,SG,33,LAL,80,10,1851,3.7,9.6,.387,1.0,3.1,.318,2.7,6.5,.420,1.6,1.8,.883,1.1,3.3,4.4,4.2,1.3,0.7,1.8,4.0,10.0
62,Wayne Cooper\coopewa01,C,33,POR,79,0,1176,4.2,9.3,.454,0.0,0.1,.000,4.2,9.2,.458,0.8,1.2,.641,3.6,6.8,10.4,1.3,0.6,2.9,1.2,6.5,9.2
63,Lanard Copeland\copella01,SG,24,PHI,23,0,110,10.1,22.3,.456,0.3,1.6,.200,9.8,20.6,.476,3.6,4.6,.786,1.3,2.0,3.3,2.9,0.3,0.3,6.2,3.9,24.2
64,Tyrone Corbin\corbity01,SF,27,MIN,82,80,3011,6.2,12.9,.481,0.0,0.1,.000,6.2,12.8,.486,1.9,2.5,.770,2.6,4.6,7.2,2.6,2.1,0.5,1.7,3.4,14.4
65,Dave Corzine\corzida01,C,33,ORL,6,3,79,5.0,13.2,.379,0.0,0.0,,5.0,13.2,.379,0.0,0.9,.000,3.2,5.0,8.2,0.9,0.9,0.0,3.6,3.2,10.0
66,Pat Cummings\cummipa01,C,33,MIA,37,1,391,7.1,14.6,.484,0.0,0.0,,7.1,14.6,.484,1.9,3.4,.568,2.6,6.0,8.6,1.2,1.1,0.4,2.9,5.5,16.1
67,Terry Cummings\cummite01,PF,28,SAS,81,78,2821,9.3,19.6,.475,0.2,0.8,.322,9.0,18.8,.481,4.4,5.6,.780,2.9,5.8,8.6,2.8,1.4,0.7,2.6,3.6,23.2
68,Dell Curry\curryde01,SG,25,CHH,67,13,1860,8.9,19.2,.466,1.0,2.8,.354,7.9,16.3,.485,1.9,2.0,.923,0.6,2.7,3.3,3.1,1.9,0.5,1.9,2.9,20.7
69,Quintin Dailey\dailequ01,SG,29,SEA,30,2,491,7.1,17.6,.404,0.1,0.4,.200,7.0,17.2,.409,3.8,4.8,.788,1.3,2.4,3.7,2.5,0.9,0.0,2.5,4.6,18.1
70,Adrian Dantley*\dantlad01,SF,34,DAL,45,45,1300,6.4,13.4,.477,0.0,0.1,.000,6.4,13.3,.479,5.5,7.0,.787,2.2,2.6,4.8,2.2,0.6,0.2,2.1,2.7,18.3
71,Brad Daugherty\daughbr01,C,24,CLE,41,40,1438,6.1,12.7,.479,0.0,0.1,.000,6.1,12.7,.481,5.1,7.2,.704,1.9,7.4,9.3,3.3,0.7,0.6,2.8,2.7,17.3
72,Brad Davis\davisbr01,PG,34,DAL,73,2,1292,5.0,10.2,.490,1.0,2.9,.337,4.0,7.3,.552,2.1,2.8,.770,0.3,2.3,2.6,6.7,1.3,0.3,2.4,4.2,13.1
73,Charles Davis\davisch02,SF,31,CHI,53,0,429,4.9,13.3,.367,0.6,2.1,.280,4.3,11.2,.383,0.6,0.7,.875,2.1,4.7,6.8,1.5,0.8,0.7,1.7,4.4,10.9
74,Terry Davis\daviste01,PF,22,MIA,63,9,884,5.0,10.7,.466,0.0,0.0,.000,5.0,10.6,.467,2.2,3.5,.621,3.8,5.5,9.3,1.0,1.0,1.1,2.8,7.0,12.1
75,Walter Davis\daviswa03,SG,35,DEN,69,0,1635,10.9,22.7,.481,0.1,1.0,.130,10.8,21.7,.497,4.6,5.0,.912,1.0,2.9,3.9,3.4,1.3,0.2,2.2,3.5,26.6
76,Johnny Dawkins\dawkijo01,PG,26,PHI,81,81,2865,5.8,11.9,.489,0.3,0.8,.333,5.6,11.1,.501,2.6,3.1,.861,0.6,2.5,3.1,7.6,1.5,0.1,2.7,2.0,14.6
