Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
234,Reggie Miller,SG,27,IND,82,2954,19.4,0.617,0.35100000000000003,0.40700000000000003,2.5,7.0,4.8,13.4,2.0,0.6,9.3,22.2,,9.6,1.7,11.3,0.183,,4.5,-0.2,4.3,4.7
235,Terry Mills,PF,25,DET,81,2183,15.5,0.506,0.034,0.237,8.5,15.7,12.0,8.5,1.0,1.5,10.7,26.0,,1.7,2.1,3.8,0.084,,-1.1,-0.7,-1.8,0.1
236,Harold Miner,SG,21,MIA,73,1383,14.3,0.529,0.015,0.348,6.0,6.2,6.1,9.3,1.2,0.4,11.5,25.1,,1.3,0.7,2.0,0.069,,-0.4,-1.6,-2.0,0.0
237,Sam Mitchell,SF,29,IND,81,1402,11.9,0.517,0.048,0.38299999999999995,7.4,12.0,9.7,7.7,0.8,0.5,8.3,18.6,,2.1,0.7,2.8,0.095,,-1.6,-1.5,-3.2,-0.4
238,Tracy Moore,SG,27,DAL,39,510,14.8,0.511,0.26899999999999996,0.245,4.5,6.7,5.5,15.4,2.0,0.5,10.4,24.6,,0.5,0.0,0.5,0.046,,1.2,-1.4,-0.2,0.2
239,Chris Morris,SF,27,NJN,77,2302,17.8,0.534,0.084,0.273,10.7,10.8,10.8,7.2,3.1,1.4,10.5,20.7,,3.6,3.6,7.2,0.151,,1.7,1.4,3.1,2.9
240,Isaiah Morris,SF,23,DET,25,102,10.6,0.46799999999999997,0.0,0.07,6.2,6.8,6.5,6.9,1.5,0.6,12.0,28.1,,-0.1,0.1,0.0,-0.022000000000000002,,-3.7,-2.0,-5.7,-0.1
241,Alonzo Mourning,C,22,CHH,78,2644,20.8,0.586,0.003,0.5670000000000001,11.2,21.0,16.4,4.3,0.5,5.8,14.4,25.5,,4.8,3.4,8.2,0.14800000000000002,,0.9,0.0,0.9,1.9
242,Chris Mullin,SF,29,GSW,46,1902,19.0,0.578,0.14300000000000002,0.243,2.5,11.2,6.8,14.0,1.7,1.3,11.9,25.1,,3.6,1.3,4.9,0.122,,3.7,-0.4,3.3,2.5
243,Eric Murdock,PG,24,MIL,79,2437,19.3,0.534,0.127,0.316,4.5,9.0,6.7,38.2,3.6,0.2,16.3,22.4,,4.0,2.2,6.1,0.121,,2.5,0.4,2.9,3.0
244,Tracy Murray,SF,21,POR,48,495,11.9,0.49,0.26899999999999996,0.154,8.6,9.8,9.2,3.5,0.8,0.6,10.0,25.6,,0.1,0.4,0.5,0.049,,-1.6,-2.3,-3.9,-0.2
245,Jerrod Mustaf,PF,23,PHO,32,336,12.7,0.479,0.008,0.408,9.9,17.5,13.8,4.2,2.0,2.0,12.5,21.5,,0.0,0.5,0.5,0.065,,-3.0,-0.7,-3.7,-0.1
246,Dikembe Mutombo,C,26,DEN,82,3029,17.2,0.5670000000000001,0.0,0.63,11.9,25.5,18.7,6.8,0.7,5.7,17.8,16.3,,3.3,5.5,8.8,0.139,,0.0,1.6,1.6,2.7
247,Larry Nance,PF,33,CLE,77,2753,19.8,0.5870000000000001,0.004,0.254,8.0,19.3,13.9,12.1,1.0,4.4,9.0,19.1,,6.3,4.4,10.7,0.187,,2.0,1.6,3.6,3.9
248,Ed Nealy,PF,32,TOT,41,308,8.3,0.46399999999999997,0.391,0.174,4.4,19.2,11.7,6.1,1.9,0.4,8.6,11.0,,0.1,0.3,0.5,0.073,,-2.9,0.2,-2.7,-0.1
249,Melvin Newbern,SG,25,DET,33,311,11.5,0.42700000000000005,0.071,0.531,6.5,6.7,6.6,26.5,3.8,0.2,18.7,23.6,,-0.4,0.4,0.0,0.0,,-3.5,1.0,-2.4,0.0
250,Johnny Newman,SF,29,CHH,64,1471,15.5,0.597,0.084,0.449,5.5,4.9,5.2,11.4,1.5,0.7,12.3,20.5,,3.1,0.6,3.7,0.12,,1.0,-1.0,0.0,0.8
251,Ken Norman,SF,28,LAC,76,2477,15.7,0.53,0.039,0.226,9.2,16.4,12.8,9.6,1.2,1.5,10.4,19.9,,2.7,2.5,5.2,0.10099999999999999,,0.7,-1.0,-0.3,1.1
252,Shaquille O'Neal,C,20,ORL,81,3071,22.9,0.584,0.002,0.5529999999999999,13.4,27.1,20.6,8.5,1.0,5.7,15.9,27.0,,4.5,6.0,10.4,0.163,,2.0,1.5,3.5,4.3
253,Dan O'Sullivan,C,24,TOT,6,17,24.4,0.6659999999999999,0.0,0.8,12.8,26.6,19.6,8.6,2.9,0.0,0.0,16.9,,0.1,0.0,0.1,0.341,,2.7,0.9,3.6,0.0
254,Charles Oakley,PF,29,NYK,82,2230,12.6,0.556,0.002,0.408,14.8,20.3,17.7,8.0,1.9,0.5,19.6,12.3,,2.2,5.1,7.3,0.157,,-1.2,1.9,0.7,1.5
255,Alan Ogg,C,25,TOT,6,29,15.7,0.44,0.0,0.308,11.6,28.0,19.7,19.4,1.7,6.7,16.9,26.2,,0.0,0.0,0.0,0.02,,-3.9,2.1,-1.8,0.0
256,Hakeem Olajuwon,C,30,HOU,82,3242,27.3,0.5770000000000001,0.005,0.35600000000000004,10.5,25.9,18.7,15.8,2.4,6.5,12.4,28.8,,7.9,8.0,15.8,0.23399999999999999,,3.9,3.6,7.5,7.8
257,Matt Othick,PG,23,SAS,4,39,5.9,0.68,0.8,0.4,3.1,2.8,2.9,23.7,1.3,0.0,40.5,11.2,,0.0,0.0,0.0,0.019,,-3.0,-1.3,-4.3,0.0
258,Doug Overton,PG,23,WSB,45,990,11.8,0.51,0.04,0.251,2.8,9.4,6.0,23.3,1.5,0.4,16.7,18.5,,0.1,0.4,0.6,0.027999999999999997,,-1.8,-0.7,-2.6,-0.2
259,Billy Owens,PF,23,GSW,37,1201,16.9,0.534,0.022000000000000002,0.371,10.0,14.5,12.3,18.0,1.4,1.4,15.6,23.1,,1.3,0.9,2.2,0.087,,1.8,-0.2,1.6,1.1
260,Robert Pack,PG,23,DEN,77,1579,16.4,0.545,0.013000000000000001,0.513,3.5,7.3,5.4,31.9,2.5,0.4,19.9,23.9,,1.4,1.7,3.1,0.095,,0.2,-0.2,0.1,0.8
261,Gerald Paddio,SF,27,SEA,41,307,16.3,0.47,0.05,0.132,6.4,12.8,9.5,16.6,2.3,1.3,8.7,25.3,,0.2,0.4,0.6,0.096,,-0.1,-0.8,-0.9,0.1
262,Walter Palmer,C,24,DAL,20,124,12.8,0.49200000000000005,0.0,0.158,9.6,30.6,19.2,6.9,0.4,2.6,14.1,23.3,,-0.1,0.1,0.0,0.006,,-4.1,-1.8,-5.9,-0.1
263,Robert Parish,C,39,BOS,79,2146,19.2,0.565,0.0,0.302,13.1,25.8,19.5,4.2,1.3,3.1,12.0,20.2,,3.4,3.4,6.8,0.152,,1.2,-0.2,1.0,1.6
264,John Paxson,PG,32,CHI,59,1030,9.3,0.509,0.17600000000000002,0.086,1.0,4.5,2.7,17.1,1.9,0.1,11.4,11.5,,1.1,0.8,1.9,0.087,,-2.9,0.1,-2.8,-0.2
265,Kenny Payne,SF,26,PHI,13,154,14.2,0.45799999999999996,0.2,0.044000000000000004,2.8,14.0,8.4,20.8,1.6,0.8,7.1,27.1,,-0.1,0.1,0.0,0.013999999999999999,,-0.6,-0.6,-1.2,0.0
266,Gary Payton,PG,24,SEA,82,2548,17.0,0.529,0.035,0.204,4.3,8.7,6.4,22.7,3.5,0.6,12.4,19.8,,4.2,3.6,7.8,0.147,,0.9,1.9,2.7,3.1
267,Anthony Peeler,SG,23,LAL,77,1656,13.9,0.5529999999999999,0.18600000000000003,0.325,4.4,8.0,6.2,15.3,1.8,0.5,14.5,21.9,,1.7,1.0,2.7,0.078,,-0.1,-0.6,-0.7,0.6
268,Will Perdue,C,27,CHI,72,998,14.8,0.578,0.004,0.451,11.5,22.0,16.6,10.0,1.1,3.1,20.1,16.0,,1.0,1.5,2.5,0.12,,-1.7,0.4,-1.3,0.2
269,Sam Perkins,PF,31,TOT,79,2351,16.5,0.555,0.08900000000000001,0.382,7.9,17.8,12.8,9.7,1.3,2.2,10.4,18.8,,4.3,2.6,6.9,0.141,,1.2,0.2,1.4,2.0
270,Tim Perry,PF,27,PHI,81,2104,12.0,0.519,0.08,0.33799999999999997,8.0,13.1,10.5,8.9,0.9,2.5,14.9,16.6,,0.7,1.3,2.0,0.046,,-1.9,-0.8,-2.7,-0.4
271,Chuck Person,SF,28,MIN,78,2985,12.2,0.495,0.266,0.135,4.0,13.4,8.7,19.6,1.1,0.6,14.2,22.9,,-1.1,1.1,0.0,0.0,,-0.1,-2.1,-2.2,-0.2
272,Dražen Petrović,SG,28,NJN,70,2660,17.3,0.605,0.147,0.319,1.7,6.1,3.9,15.3,1.8,0.3,13.6,23.6,,5.8,2.6,8.4,0.152,,1.7,0.1,1.8,2.5
273,Bobby Phills,SG,23,CLE,31,139,14.2,0.5,0.061,0.305,5.2,8.7,7.0,12.2,3.6,0.9,16.2,35.4,,-0.3,0.2,-0.1,-0.027000000000000003,,-5.5,-1.1,-6.6,-0.2
274,Ricky Pierce,SG,33,SEA,77,2218,19.2,0.5720000000000001,0.106,0.32899999999999996,3.0,7.2,5.1,15.5,2.3,0.2,11.5,26.3,,5.4,2.3,7.7,0.16699999999999998,,2.6,-0.2,2.5,2.5
275,Ed Pinckney,PF,29,BOS,7,151,10.5,0.5379999999999999,0.0,0.542,10.6,21.5,16.1,0.8,1.3,2.9,21.2,10.8,,0.1,0.2,0.3,0.084,,-2.2,0.9,-1.2,0.0
276,Scottie Pippen,SF,27,CHI,81,3123,19.2,0.51,0.07,0.264,7.3,16.0,11.5,24.0,2.9,1.6,14.2,23.9,,3.8,4.8,8.6,0.132,,2.6,1.4,4.0,4.7
277,Gary Plummer,PF,30,DEN,60,737,8.6,0.521,0.013000000000000001,0.41700000000000004,7.6,17.3,12.4,7.7,0.9,0.9,22.4,19.2,,-0.5,0.9,0.4,0.024,,-5.3,-0.6,-5.9,-0.7
